Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1139374505899069440,51076,21226-移动游戏高级策划经理（深圳）,中国,深圳,IEG,,产品,"负责相关产品的产品本地化过程中的产品内容、商业化能力设计，对产品内容负责；
分析不同区域的用户诉求，以及竞品研究，明确玩家需求与全局产品设计的优先级，并推进海外研发团队进行内容的设计与跟进，确保质量与效果。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374506054258688,51077,21226-海外游戏发行推广经理 （深圳）,中国,深圳,IEG,,产品,"主导制定产品在日韩/欧美/东南亚的区域发行市场策略，包含UA、网红、社区、电竞等多领域模块；
分析学习海外其他产品或者厂商市场打法，形成长期的了解与深入的分析，从而不断优化自身策略，持续提升推广效果；
持续关注海外行业动态，深入了解各个渠道、平台等变化等等，并与渠道建立良好的合作关系。
",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374503227297792,51071,21226-海外产品发行制作人（深圳）,中国,深圳,IEG,,产品,"负责一款或多款全球产品的海外运营规划，并对产品的商业化指标负责；
针对产品对不同用户、不同区域存在的问题进行分析并整理优化优先级；
针对产品的竞品以及行业新产品，有深入的分析以及有明确的应对策略；
推动海外研发团队进行产品的优化以及运营规划的落地。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374503923552256,51072,21226-海外市场发行负责人（深圳）,中国,深圳,IEG,,产品,"主导制定产品在欧美的发行市场策略，包含UA、网红、社区、电竞等多领域模块；
分析学习海外其他产品或者厂商市场打法，形成长期的了解与深入的分析，从而不断优化自身策略，持续提升推广效果；
持续关注海外行业动态，深入了解各个渠道、平台等变化等等，并与渠道建立良好的合作关系。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374505156677632,51073,21226-海外游戏运营经理（深圳）,中国,深圳,IEG,,产品,"负责一款或多款全球产品的单个区域（日韩/欧美/东南亚）的运营规划，并对产品的商业化指标负责；
针对该产品对不同用户、不同区域区域存在的问题进行分析并整理优化优先级；
针对产品的竞品以及行业新产品，有深入的分析以及有明确的应对策略；
和海外研发团队合作配合，共同进行产品的优化以及运营规划的落地。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374505647411200,51075,21226-国内海外社区内容运营（深圳）,中国,深圳,IEG,,产品,"主导制定产品在中国/日韩/东南亚的社区建设，包含网红、社区内容等多领域模块，并与合作伙伴一起落地策略，并持续优化；
分析学习海外其他产品或者厂商市场打法，形成长期的了解与深入的分析，从而不断优化自身策略，持续提升推广效果；
持续关注海外行业动态，深入了解各个渠道、平台等变化等等，并与渠道建立良好的合作关系。
",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1139374506570158080,51074,21226-Supercell手游-渠道运营（深圳）,中国,深圳,IEG,,产品,"负责Supercell未来多款新产品移动游戏平台渠道的运营，基于项目运营目标，制定各个阶段的运营与合作策略，合理规划方案并高效执行落地，对长期运营效果负责；
与公司内部平台渠道对接，结合项目与渠道双方的需求，合理利用平台资源并持续优化，负责设计对应的活动内容，对活动效果负责；
关注项目和渠道用户需求细节，运用一定的用户研究方法对用户需求进行提炼，指导不断提高渠道运营效率；
积极推进跨部门合作沟通协调，推动合作顺利进展。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139374316488495104,51070,19332-企业产品视觉设计师（上海）,中国,上海,CSIG,腾讯云,设计,"担任腾讯企点主要UX设计工作，涵盖官网，运营及UI界面设计，视乎个人能力倾向；
面对业务项目挑战具有创新思考能力，能很好地掌握设计前沿趋势，懂得设计赋能商业，与团队一起完成具有业界影响力的设计。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1135447648724062208,50805,S2-海外投资公司管理,中国,深圳,S2,,财务,"负责投资公司的日常财务预算、监督、报告及预警； 
负责协调和推动投资公司财务提升及优化等需求； 
负责派出投资公司董事决策提供支持； 
负责建立和完善投资公司相关的管理流程和制度。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1135447648724062208,1,False,False
0,1139368396417142784,51068,30359-Ceph存储运营开发工程师,中国,深圳,PCG,,技术,"主要负责PCG技术运营部应用架构中心的ceph文件系统以及ceph对象存储平台的运维及管理平台开发工作；
服务业务包括应用宝、浏览器、短视频、腾讯视频等，每天PB级数据量增涨，提供7*24小时的稳定高效的数据服务；
深入理解平台架构及业务数据应用场景，给业务数据存储方案造型提供有力支撑，确保业务合理规范使用平台服务；
追求卓越，不断打磨平台运营能力，通过运营平台建设持续解决运维人力，支撑PCG业务的高速发展。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1123177453729091584,48783,29313-PCG财务经理（北京）,中国,北京,S2,,财务,"协助业务部门梳理业务流程，提供财务管理建议与方案，确保业务工作的顺利开展；
负责业务部门的财务分析，并协助建立分析体系，为业务部门提供管理与决策；
组织业务部门进行年度预算编制，并进行日常考核跟踪和预算管理；
其他相关工作。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123177453729091584,1,False,False
0,1139368184978083840,51067,29313-PCG渠道财务经理（北京）,中国,北京,S2,,财务,"协助业务部门梳理业务流程，提供财务管理建议与方案，确保业务工作的顺利开展；
负责业务部门的财务分析，并协助建立分析体系，为业务部门提供管理与决策；
组织业务部门进行年度预算编制，并进行日常考核跟踪和预算管理；
其他相关工作。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1123177958048010240,49336,TME-全民K歌海外市场与用户研究经理（深圳）,中国,深圳总部,TME,,设计,"负责全民K歌海外的市场与用户研究工作（东南亚地区为主），包括独立完成各个用研项目的需求分析、方案设计，管理研究供应商执行项目，并输出具有较强落地性的专业研究报告；
全球泛娱乐市场及用户的分析以及跟踪监测，包括行业、市场格局、用户趋势、竞品分析等。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123177958048010240,1,False,False
0,1123175199718510592,38419,21229-沙盒/生存类产品高级社区运营（上海）,中国,上海,IEG,,产品,"负责沙盒/生存类产品的社区整体规划和建设，以及运营工作，包括：
社区规划：根据产品特点，进行社区内容规划，路径规划，资源规划；
社区建设：对社区内容的生产和效果负责，包括论坛类，UGC视频，直播视频平台关系维护等；
KOL培养和管理：挖掘和培养优质KOL，促进社区生态，形成社区文化；
数据分析和优化：对产品社区的数据定期跟踪分析，并优化社区建设方案和提供产品优化建议。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123175199718510592,1,False,False
0,1123175200540594176,38423,21229-沙盒/生存类产品运营策划（上海）,中国,上海,IEG,,产品,"负责沙盒类生存类产品的评测、分析；
负责沙盒类生存类产品的分析和研究，并对本地化和商业化输出修改建议；
分析产品数据和用户研究，针对数据及用研反馈调整产品内容计划；
负责游戏运营工作，对游戏产品和用户体验负责。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123175200540594176,1,False,False
